Time,I,Q
11-42-18.039,6137,12932
11-42-18.055,6000,13027
11-42-18.117,5980,13015
11-42-18.180,5999,13005
11-42-18.242,6024,13000
11-42-18.305,6089,12964
11-42-18.367,6128,12919
11-42-18.434,6084,12950
11-42-18.492,6014,12994
11-42-18.555,5953,13083
11-42-18.617,5846,13150
11-42-18.680,5784,13201
11-42-18.742,5777,13168
11-42-18.809,5818,13151
11-42-18.867,5861,13107
11-42-18.930,5919,13092
11-42-19.039,5912,13084
11-42-19.055,5907,13092
11-42-19.117,5909,13084
11-42-19.180,5853,13123
11-42-19.242,5820,13144
11-42-19.305,5813,13163
11-42-19.367,5809,13172
11-42-19.434,5824,13148
11-42-19.543,5835,13154
11-42-19.551,5831,13171
11-42-19.617,5812,13174
11-42-19.680,5788,13191
11-42-19.738,5769,13214
11-42-19.801,5729,13235
11-42-19.879,5707,13252
11-42-19.883,5683,13259
11-42-20.039,5665,13263
11-42-20.055,5711,13220
11-42-20.117,5737,13213
11-42-20.176,5748,13193
11-42-20.238,5777,13146
11-42-20.305,5852,13068
11-42-20.363,5867,13077
11-42-20.430,6006,13065
11-42-20.488,6096,12929
11-42-20.551,6166,12834
11-42-20.617,6124,12849
11-42-20.680,6095,12877
11-42-20.742,6037,12890
11-42-20.805,6009,12914
11-42-20.863,5983,12916
11-42-20.930,5875,12970
11-42-21.039,5924,12937
11-42-21.055,5975,12935
11-42-21.113,5945,12939
11-42-21.176,5934,12932
11-42-21.238,5988,12933
11-42-21.301,5947,12926
11-42-21.363,5981,12937
11-42-21.430,5978,12922
11-42-21.488,5977,12930
11-42-21.551,5929,12955
11-42-21.617,5891,12955
11-42-21.676,5870,12955
11-42-21.734,5937,12921
11-42-21.801,6005,12865
11-42-21.863,6050,12842
11-42-21.867,6147,12787
11-42-22.035,6205,12737
11-42-22.051,6205,12734
11-42-22.117,6218,12719
11-42-22.176,6239,12738
11-42-22.238,6197,12744
11-42-22.301,6131,12805
11-42-22.363,5985,12917
11-42-22.426,5813,13023
11-42-22.488,5852,13025
11-42-22.551,6094,12884
11-42-22.613,6218,12811
11-42-22.672,6292,12767
11-42-22.734,6308,12751
11-42-22.801,6329,12752
11-42-22.863,6317,12783
11-42-22.926,6251,12809
11-42-23.031,6217,12870
11-42-23.047,6181,12874
11-42-23.113,6106,12939
11-42-23.176,6046,12977
11-42-23.234,5995,13021
11-42-23.297,5959,13043
11-42-23.359,5926,13070
11-42-23.426,5906,13097
11-42-23.488,5894,13104
11-42-23.551,5909,13107
11-42-23.613,5917,13087
11-42-23.676,5933,13078
11-42-23.734,5934,13065
11-42-23.801,5927,13071
11-42-23.875,5924,13069
11-42-24.031,5905,13080
11-42-24.047,5916,13070
