Time,I,Q
12-53-50.641,6077,12965
12-53-50.703,6076,12968
12-53-50.770,6079,12961
12-53-50.832,6103,12971
12-53-50.891,6125,12975
12-53-50.957,6126,12978
12-53-51.020,6101,12983
12-53-51.078,6108,12980
12-53-51.145,6092,12986
12-53-51.207,6072,12980
12-53-51.270,6083,12966
12-53-51.328,6123,12950
12-53-51.391,6139,12941
12-53-51.484,6115,12970
12-53-51.516,6075,12998
12-53-51.578,6056,13014
12-53-51.641,6109,12973
12-53-51.703,6135,12968
12-53-51.770,6225,12936
12-53-51.828,6220,12932
12-53-51.887,6259,12921
12-53-51.953,6237,12933
12-53-52.016,6230,12926
12-53-52.078,6223,12918
12-53-52.145,6213,12919
12-53-52.203,6226,12904
12-53-52.266,6229,12892
12-53-52.328,6202,12915
12-53-52.332,6171,12922
12-53-53.984,6114,12959
12-53-54.000,6101,12968
12-53-54.004,6080,12977
12-53-54.016,6057,12979
12-53-54.031,6097,12973
12-53-54.125,6095,12955
12-53-54.141,6133,12937
12-53-54.152,6097,12987
12-53-54.168,6532,12819
12-53-54.199,6260,12930
12-53-54.266,6259,12920
12-53-54.328,6201,12940
12-53-54.332,6129,12971
12-53-54.480,6108,12975
12-53-54.512,6068,12993
12-53-54.574,6064,12986
12-53-54.637,6077,12986
12-53-54.695,6076,12988
12-53-54.762,6073,12991
12-53-54.824,6076,12991
12-53-54.883,6070,12987
12-53-54.945,6081,12986
12-53-55.008,6105,12983
12-53-55.070,6118,12980
12-53-55.133,6118,12976
12-53-55.195,6112,12976
12-53-55.258,6099,12976
12-53-55.320,6096,12968
12-53-55.383,6128,12956
12-53-55.492,6119,12974
12-53-55.508,6096,12984
12-53-55.566,6069,13002
12-53-55.633,6052,13010
12-53-55.695,6130,12974
12-53-55.762,6108,12980
12-53-55.820,6224,12957
12-53-55.879,6253,12912
12-53-55.945,6304,12899
12-53-56.008,6285,12920
12-53-56.066,6213,12947
12-53-56.129,6200,12942
12-53-56.191,6196,12939
12-53-56.258,6221,12918
12-53-56.332,6161,12940
12-53-56.336,6120,12957
12-53-56.488,6104,12961
12-53-56.504,6064,12974
12-53-56.566,6071,12977
12-53-56.633,6079,12979
12-53-56.691,6056,12986
12-53-56.758,6079,12976
12-53-56.816,6092,12968
12-53-56.879,6096,12971
12-53-56.945,6091,12977
12-53-57.008,6118,12976
12-53-57.066,6111,12971
12-53-57.133,6077,12982
12-53-57.191,6070,12984
12-53-57.258,6080,12964
12-53-57.320,6124,12942
12-53-57.383,6125,12968
12-53-57.492,6103,12985
12-53-57.508,6086,12991
12-53-57.566,6073,12998
12-53-57.633,6161,12970
12-53-57.820,6136,12967
12-53-57.879,6296,12897
12-53-57.945,6283,12900
12-53-58.008,6258,12918
12-53-58.066,6217,12928
12-53-58.129,6207,12922
12-53-58.191,6213,12916
12-53-58.254,6219,12902
12-53-58.332,6187,12905
12-53-58.336,6096,12971
12-53-58.488,6093,12962
12-53-58.504,6058,12987
12-53-58.563,6073,12988
12-53-58.629,6061,12989
12-53-58.688,6069,12988
12-53-58.754,6088,12979
12-53-58.816,6096,12979
12-53-58.879,6096,12976
12-53-58.945,6110,12972
12-53-59.004,6132,12970
12-53-59.078,6113,12972
12-53-59.129,6090,12981
12-53-59.191,6104,12968
12-53-59.254,6145,12947
12-53-59.316,6137,12950
12-53-59.375,6127,12977
12-53-59.488,6081,12999
12-53-59.500,6051,13010
12-53-59.563,6071,12981
12-53-59.625,6176,12965
12-53-59.699,6167,12927
12-53-59.766,6246,12924
12-53-59.813,6300,12918
12-53-59.871,6282,12919
12-53-59.953,6259,12927
12-54-0.000,6247,12931
12-54-0.059,6239,12940
12-54-0.125,6241,12919
12-54-0.184,6234,12915
12-54-0.246,6209,12912
12-54-0.328,6185,12940
12-54-0.484,6046,12981
12-54-0.500,6010,13010
12-54-0.559,6054,13000
12-54-0.625,6051,12991
12-54-0.688,6056,12991
12-54-0.746,6074,12984
12-54-0.813,6084,12982
12-54-0.871,6080,12987
12-54-0.938,6085,12992
12-54-0.996,6105,12984
12-54-1.059,6116,12978
12-54-1.125,6095,12979
12-54-1.199,6069,12981
12-54-1.262,6063,12980
12-54-1.324,6093,12963
12-54-1.387,6131,12949
12-54-1.480,6120,12960
12-54-1.496,6104,12993
12-54-1.570,6050,13012
12-54-1.637,6067,12988
12-54-1.695,6123,12986
12-54-1.762,6187,12949
12-54-1.824,6248,12913
12-54-1.883,6295,12907
12-54-1.949,6290,12914
12-54-2.008,6195,12947
12-54-2.070,6165,12957
12-54-2.137,6161,12947
