Time,I,Q
10-12-53.289,1671,15293
10-12-53.352,1645,15294
10-12-53.414,1634,15294
10-12-53.480,1629,15293
10-12-53.543,1628,15292
10-12-53.609,1635,15291
10-12-53.672,1635,15290
10-12-53.730,1632,15290
10-12-53.797,1626,15289
10-12-53.844,1627,15287
10-12-53.906,1646,15289
10-12-53.973,1662,15287
10-12-54.035,1702,15281
10-12-54.098,1742,15281
10-12-54.223,1755,15280
10-12-54.289,1752,15280
10-12-54.352,1756,15280
10-12-54.414,1769,15278
10-12-54.594,1777,15276
10-12-54.668,1777,15273
10-12-54.730,1811,15269
10-12-54.797,1878,15256
10-12-54.844,1947,15239
10-12-54.922,2012,15228
10-12-54.969,2070,15211
10-12-55.047,2155,15198
10-12-55.207,2284,15146
10-12-55.223,2237,15157
10-12-55.289,2131,15186
10-12-55.348,1874,15240
10-12-55.410,1644,15284
10-12-55.477,1410,15242
10-12-55.539,1685,15149
10-12-55.605,1915,15101
10-12-55.664,2340,15053
10-12-55.727,1525,15245
10-12-55.793,1586,15179
10-12-55.844,2361,15063
10-12-55.922,2368,14973
10-12-55.969,2045,15095
10-12-56.031,2099,15182
10-12-56.098,2305,15157
10-12-56.219,2504,15132
10-12-56.285,2534,15109
10-12-56.348,2588,15098
10-12-56.410,2578,15106
10-12-56.477,2406,15123
10-12-56.539,2102,15157
10-12-56.605,2564,14900
10-12-56.668,1749,15144
10-12-56.727,2253,15115
10-12-56.793,1939,15075
10-12-56.855,1913,15298
10-12-56.902,1249,15266
10-12-56.969,1292,15340
10-12-57.043,1720,15274
10-12-57.203,2425,15078
10-12-57.219,2368,15086
10-12-57.285,2263,15130
10-12-57.348,2175,15165
10-12-57.410,2182,15171
10-12-57.473,2226,15154
10-12-57.535,2257,15135
10-12-57.602,2272,15127
10-12-57.664,2278,15127
10-12-57.727,2274,15130
10-12-57.793,2244,15142
10-12-57.855,2221,15150
10-12-57.902,2186,15157
10-12-57.969,2178,15162
10-12-58.027,2183,15162
10-12-58.094,2194,15159
10-12-58.203,2219,15147
10-12-58.219,2234,15138
10-12-58.285,2248,15133
10-12-58.348,2275,15122
10-12-58.406,2286,15119
10-12-58.473,2297,15116
10-12-58.535,2283,15120
10-12-58.602,2263,15127
10-12-58.664,2224,15140
10-12-58.727,2196,15153
10-12-58.793,2184,15156
10-12-58.855,2179,15161
10-12-58.914,2178,15160
10-12-58.965,2183,15157
10-12-59.043,2188,15155
10-12-59.215,2266,15121
10-12-59.281,2288,15116
10-12-59.344,2289,15116
10-12-59.406,2288,15116
10-12-59.473,2299,15114
10-12-59.535,2315,15106
10-12-59.602,2323,15101
10-12-59.664,2323,15100
10-12-59.727,2328,15097
10-12-59.789,2338,15092
10-12-59.852,2371,15072
10-12-59.898,2426,15042
10-12-59.965,2464,15024
10-13-0.027,2479,15020
10-13-0.094,2490,15010
10-13-0.199,2497,15004
10-13-0.215,2502,14998
10-13-0.281,2507,14989
10-13-0.344,2505,14979
10-13-0.406,2494,14968
10-13-0.473,2460,14963
10-13-0.531,2424,14964
10-13-0.598,2398,14965
10-13-0.660,2380,14967
10-13-0.723,2367,14964
10-13-0.789,2350,14967
10-13-0.852,2338,14969
